---------------
WORDS: sport three terms 

and RESULT ITEMS:
SCORE: 9.481049 | ITEM NUMBER 112 | ITEM ID: 5633286
SCORE: 9.453864 | ITEM NUMBER 113 | ITEM ID: 1200414
SCORE: 9.453864 | ITEM NUMBER 114 | ITEM ID: 331421
SCORE: 9.442692 | ITEM NUMBER 115 | ITEM ID: 327425
SCORE: 9.442692 | ITEM NUMBER 116 | ITEM ID: 253442
SCORE: 9.442692 | ITEM NUMBER 117 | ITEM ID: 4838
SCORE: 9.442692 | ITEM NUMBER 118 | ITEM ID: 1944897
SCORE: 9.430965 | ITEM NUMBER 119 | ITEM ID: 543801
SCORE: 9.430965 | ITEM NUMBER 120 | ITEM ID: 664281
SCORE: 9.430965 | ITEM NUMBER 121 | ITEM ID: 1143282
SCORE: 9.430965 | ITEM NUMBER 122 | ITEM ID: 301023
SCORE: 9.430965 | ITEM NUMBER 123 | ITEM ID: 2284266
SCORE: 9.430965 | ITEM NUMBER 124 | ITEM ID: 2070877
SCORE: 9.430965 | ITEM NUMBER 125 | ITEM ID: 2320453
SCORE: 9.430965 | ITEM NUMBER 126 | ITEM ID: 4172681
SCORE: 9.430965 | ITEM NUMBER 127 | ITEM ID: 5802614
SCORE: 9.392074 | ITEM NUMBER 128 | ITEM ID: 913414
SCORE: 9.392074 | ITEM NUMBER 129 | ITEM ID: 1776062
SCORE: 9.379241 | ITEM NUMBER 130 | ITEM ID: 1098864
SCORE: 9.379241 | ITEM NUMBER 131 | ITEM ID: 919539
SCORE: 9.379241 | ITEM NUMBER 132 | ITEM ID: 2287741
SCORE: 9.366715 | ITEM NUMBER 133 | ITEM ID: 346771
SCORE: 9.366715 | ITEM NUMBER 134 | ITEM ID: 2074859
SCORE: 9.354134 | ITEM NUMBER 135 | ITEM ID: 2337227
SCORE: 9.329132 | ITEM NUMBER 136 | ITEM ID: 634471
SCORE: 9.329132 | ITEM NUMBER 137 | ITEM ID: 543901
SCORE: 9.329132 | ITEM NUMBER 138 | ITEM ID: 1311481
SCORE: 9.329132 | ITEM NUMBER 139 | ITEM ID: 1140118
SCORE: 9.329132 | ITEM NUMBER 140 | ITEM ID: 1679534
SCORE: 9.329132 | ITEM NUMBER 141 | ITEM ID: 1673856
SCORE: 9.329132 | ITEM NUMBER 142 | ITEM ID: 1872904
SCORE: 9.329132 | ITEM NUMBER 143 | ITEM ID: 2818585
SCORE: 9.329132 | ITEM NUMBER 144 | ITEM ID: 5795260
SCORE: 9.315808 | ITEM NUMBER 145 | ITEM ID: 1636570
SCORE: 9.315808 | ITEM NUMBER 146 | ITEM ID: 1718836
SCORE: 9.315808 | ITEM NUMBER 147 | ITEM ID: 1883444
SCORE: 9.315808 | ITEM NUMBER 148 | ITEM ID: 1826725
SCORE: 9.315808 | ITEM NUMBER 149 | ITEM ID: 1807599
SCORE: 9.315808 | ITEM NUMBER 150 | ITEM ID: 5416632
SCORE: 9.303061 | ITEM NUMBER 151 | ITEM ID: 1406053
SCORE: 9.303061 | ITEM NUMBER 152 | ITEM ID: 1962083
SCORE: 9.303061 | ITEM NUMBER 153 | ITEM ID: 2812439
SCORE: 9.303061 | ITEM NUMBER 154 | ITEM ID: 2040458
SCORE: 9.303061 | ITEM NUMBER 155 | ITEM ID: 4330550
SCORE: 9.303061 | ITEM NUMBER 156 | ITEM ID: 3094481
SCORE: 9.303061 | ITEM NUMBER 157 | ITEM ID: 5250691
SCORE: 9.285719 | ITEM NUMBER 158 | ITEM ID: 462225
SCORE: 9.224110 | ITEM NUMBER 159 | ITEM ID: 1235110
SCORE: 9.217766 | ITEM NUMBER 160 | ITEM ID: 1407066
SCORE: 9.211798 | ITEM NUMBER 161 | ITEM ID: 367315
SCORE: 9.211798 | ITEM NUMBER 162 | ITEM ID: 1448385
SCORE: 9.207933 | ITEM NUMBER 163 | ITEM ID: 3749799
SCORE: 9.204330 | ITEM NUMBER 164 | ITEM ID: 1406992
SCORE: 9.190562 | ITEM NUMBER 165 | ITEM ID: 733182
